code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300269,联建光电,半导体,深圳,31.9,3.47,6.14,801208.31,255404.77,30758.96,397768.31,6.48,0.302,8.77,2.19,20111012,80010.22,1.3,70.75,29.02,30.93,10.88,16287.0
600033,福建高速,路桥,福建,12.79,27.44,27.44,1781945.0,125150.72,1502986.13,166057.8,0.61,0.151,3.08,1.25,20010209,316730.91,1.15,-0.81,20.73,67.71,34.22,145852.0
000548,湖南投资,路桥,湖南,15.4,4.99,4.99,208882.73,145721.8,25489.84,47826.8,0.96,0.251,3.34,2.31,19931220,58057.8,1.16,861.23,167.08,32.9,14.73,76484.0
000665,湖北广电,影视音像,湖北,18.83,4.61,6.36,828112.63,90494.02,465892.59,346743.44,5.45,0.308,9.0,1.29,19961210,154061.81,2.42,2.88,1.97,46.25,17.01,20598.0
603606,东方电缆,电气设备,浙江,64.25,3.11,3.11,216583.47,160690.56,32400.4,12220.75,0.39,0.09,2.79,4.16,20141015,37483.4,1.21,37.67,31.12,12.95,2.78,30744.0
002560,通达股份,电气设备,河南,187.92,2.73,4.29,228463.16,115373.71,25532.26,70479.24,1.64,0.021,3.54,2.21,20110303,38505.37,0.9,12.41,-79.31,8.49,1.23,41050.0
600195,中牧股份,饲料,北京,37.08,4.3,4.3,617549.63,350231.28,145450.34,97500.93,2.27,0.265,8.07,2.44,19990107,181946.34,4.23,-13.71,-14.38,29.98,7.53,19975.0
000920,南方汇通,环境保护,贵州,39.71,4.22,4.22,175576.34,40167.69,48528.03,0.0,0.0,0.149,1.95,6.06,19990616,23169.96,0.55,5.8,22.52,43.3,11.81,32548.0
600219,南山铝业,铝,山东,24.58,70.88,92.51,4428419.5,1311137.25,2448199.5,1468046.88,1.59,0.08,3.45,1.14,19991223,713790.63,0.77,22.34,31.71,22.41,9.82,218174.0
300018,中元股份,电气设备,湖北,59.58,3.27,4.87,167123.19,94469.24,5510.25,63110.05,1.3,0.099,2.98,2.65,20091030,32974.7,0.68,5.61,-14.87,57.33,19.86,25739.0
601899,紫金矿业,黄金,福建,30.37,158.04,230.31,9487568.0,3119015.75,3189577.75,1115319.0,0.48,0.065,1.43,2.77,20080425,1819244.38,0.79,-3.51,179.63,14.59,4.01,844417.0
600621,华鑫股份,证券,上海,93.54,5.24,10.61,1660969.0,1440011.0,12051.46,170815.95,1.61,0.064,5.34,2.24,19921202,264963.5,2.5,-50.8,-73.84,37.06,33.73,45737.0
601900,南方传媒,出版业,广东,24.36,1.76,8.96,878403.81,466511.75,60448.55,108321.01,1.21,0.27,4.53,2.64,20160215,170567.31,1.9,-1.01,16.4,31.12,10.27,47504.0
000852,石化机械,化工机械,湖北,0.0,5.98,5.98,649678.0,501803.59,123281.72,98809.59,1.65,-0.266,2.67,4.49,19981126,-18124.53,-0.3,-8.6,9.7,11.31,-11.81,61256.0
000903,云内动力,机械基件,云南,21.1,15.81,17.58,951796.38,616440.38,189584.09,178260.13,1.01,0.095,2.59,1.54,19990415,73268.65,0.42,61.42,52.08,13.22,5.72,66803.0
600359,新农开发,农业综合,新疆,35.63,3.82,3.82,296843.81,195265.88,21584.76,93332.75,2.45,0.11199999999999999,1.84,4.35,19990429,-67530.4,-1.77,60.18,168.11,6.3,5.34,47510.0
